control_zone,date,total_load
Amprion,2016-10-01,15447721.4125
Amprion,2016-11-01,16214539.87
Amprion,2016-12-01,16052018.61
Amprion,2017-01-01,17348287.9
Amprion,2017-02-01,15653260.055
Amprion,2017-03-01,16705063.1525
Amprion,2017-04-01,14854428.0675
Amprion,2017-05-01,15253441.4375
Amprion,2017-06-01,14773451.5175
Amprion,2017-07-01,15406119.555
Amprion,2017-08-01,14840790.5375
Amprion,2017-09-01,14756650.0725
Amprion,2017-10-01,15687799.52
Amprion,2017-11-01,16111927.04
Amprion,2017-12-01,16585910.885
Amprion,2018-01-01,17132294.96
Amprion,2018-02-01,15548478.2775
Amprion,2018-03-01,16729341.45
Amprion,2018-04-01,14801650.1775
Amprion,2018-05-01,15155417.8825
Amprion,2018-06-01,14919289.3425
Amprion,2018-07-01,15037824.575
Amprion,2018-08-01,15197391.4325
Amprion,2018-09-01,14847944.22
Amprion,2018-10-01,15866737.315
Amprion,2018-11-01,15802825.24
Amprion,2018-12-01,16090292.1075
Amprion,2019-01-01,17112134.975
Amprion,2019-02-01,15354401.35
Amprion,2019-03-01,16552303.1475
Amprion,2019-04-01,14980766.135
Amprion,2019-05-01,15522932.51
Amprion,2019-06-01,14490097.2675
Amprion,2019-07-01,15171215.0325
Amprion,2019-08-01,14755389.3725
Amprion,2019-09-01,14394204.32
Amprion,2019-10-01,15567875.765
Amprion,2019-11-01,15679180.975
Amprion,2019-12-01,15437136.6975
Amprion,2020-01-01,16430605.225
Amprion,2020-02-01,15724270.4425
Amprion,2020-03-01,15618686.98
Amprion,2020-04-01,13467123.48
Amprion,2020-05-01,13562041.3525
Amprion,2020-06-01,13301946.3125
Amprion,2020-07-01,13799351.72
Amprion,2020-08-01,14245362.355
Amprion,2020-09-01,14004229.01
Amprion,2020-10-01,15432754.2575
Amprion,2020-11-01,15555788.915
Amprion,2020-12-01,15647016.365
Amprion,2021-01-01,16703549.2025
Amprion,2021-02-01,15149800.41
Amprion,2021-03-01,16555150.9475
Amprion,2021-04-01,15154078.2825
Amprion,2021-05-01,14962888.4875
Amprion,2021-06-01,14678471.8875
Amprion,2021-07-01,15109204.08
Amprion,2021-08-01,14586910.07
Amprion,2021-09-01,14586807.6375
Amprion,2021-10-01,15752219.255
Amprion,2021-11-01,15470095.205
Amprion,2021-12-01,16024135.365
Amprion,2022-01-01,16655647.89
