DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2020-05-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	-26752.00	-401.00	-26351.00	EUR	A05	2020-06-04 15:16:23
2020-05-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	0.00	0.00	0.00	GBP	A05	2020-06-01 18:16:43
2020-05-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	46858738.35	29998379.13	16788298.62	EUR	A05	2021-11-26 22:15:51
2020-05-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	3889977.20	3889977.20	0.00	EUR	A05	2022-01-28 14:01:14
2020-05-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	34353.36	0.00	34353.36	EUR	A05	2020-06-10 16:16:42
2020-05-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	-514.80	EUR	A05	2020-06-15 09:18:24
2020-05-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	2582904.92	2582904.92	0.00	EUR	A05	2022-01-31 18:46:06
2020-05-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	32215.86	0.00	32215.86	EUR	A05	2020-06-19 12:31:20
2020-05-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	0.00	0.00	0.00	EUR	A05	2020-06-20 12:16:13
2020-05-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	754269.42	0.00	754269.42	EUR	A05	2020-06-28 08:16:09
2020-05-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	12640285.14	12640285.14	0.00	EUR	A05	2020-11-12 09:15:46
2020-05-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	14667.00	14667.00	0.00	EUR	A05	2020-06-30 00:16:19
2020-05-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2020-06-30 11:47:26
2020-05-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	735757.00	0.00	735757.00	EUR	A05	2020-06-30 14:16:16
2020-05-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	151964.31	143673.28	8291.03	PLN	A05	2020-07-09 17:46:10
2020-05-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2020-07-15 10:32:56
2020-05-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	0.00	0.00	0.00	EUR	A05	2020-08-25 10:16:20
2020-05-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	206523.00	35641.00	170882.00	EUR	A05	2021-04-01 11:31:11
2020-05-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	3707736.67	3707736.67	0.00	EUR	A05	2021-02-11 19:15:48
2020-05-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2022-07-13 08:46:01
