DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2019-11-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2019-11-10 08:16:12
2019-11-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	38250.97	0.00	30271.13	EUR	A05	2019-12-31 03:32:38
2019-11-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	0.00	0.00	0.00	GBP	A05	2019-12-01 18:16:09
2019-11-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	0.00	0.00	0.00	EUR	A05	2019-12-08 12:16:23
2019-11-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-10442.76	0.00	-10442.76	EUR	A05	2019-12-09 13:16:14
2019-11-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	6098061.12	6098061.12	0.00	EUR	A05	2020-02-06 17:16:18
2019-11-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	2530516.29	2530516.29	0.00	EUR	A05	2022-01-31 19:46:04
2019-11-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	148490.76	148490.76	0.00	EUR	A05	2019-12-13 10:16:25
2019-11-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2019-12-15 09:16:45
2019-11-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2019-12-17 13:31:46
2019-11-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	36078205.00	26078235.00	9987657.00	EUR	A05	2020-11-27 22:15:47
2019-11-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	2119173.96	2119173.96	0.00	EUR	A05	2020-12-01 12:45:52
2019-11-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	74781.71	0.00	74781.71	EUR	A05	2019-12-20 12:16:32
2019-11-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	778337.41	0.00	778337.41	EUR	A05	2019-12-28 08:16:10
2019-11-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	11630.31	11630.31	0.00	EUR	A05	2019-12-31 02:16:12
2019-11-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	0.00	0.00	0.00	EUR	A05	2020-01-06 15:31:32
2019-11-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	0.00	0.00	0.00	EUR	A05	2020-01-29 12:31:18
2019-11-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	173270.23	165403.86	7866.37	PLN	A05	2022-01-12 13:45:58
2019-11-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	775738.00	0.00	775738.00	EUR	A05	2020-03-31 11:49:20
2019-11-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2022-07-13 08:46:01
