DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2016-05-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	8864.60	0.00	8864.60	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	10776.00	0.00	10776.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	2216331.85	2216331.85	0.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	184686.06	0.00	184686.06	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	16869602.00	16436441.00	433161.00	EUR	A05	2017-12-20 00:01:14
2016-05-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	351303.38	0.00	351303.38	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	184686.06	0.00	184686.06	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	88212.68	88212.68	0.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	17763.48	0.00	17763.48	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	-1170.64	0.00	-1170.64	GBP	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	422712.59	422712.59	0.00	EUR	A05	2018-03-21 12:01:33
2016-05-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	9582721.96	9229486.02	353235.94	EUR	A05	2017-09-25 15:32:23
2016-05-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	17000.00	0.00	17000.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YNL----------L	CTA	NL CTA	NL	533732.62	0.00	533732.62	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	3563338.87	0.00	3563338.87	PLN	A05	2017-09-14 15:19:24
2016-05-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	126738.98	0.00	109437.56	EUR	A05	2017-09-14 15:19:24
