DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2017-06-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	6501.37	0.00	6435.51	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	1971.63	0.00	1971.63	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	2215610.05	0.00	2215610.05	EUR	A05	2019-11-08 15:16:49
2017-06-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	530000.00	0.00	530000.00	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	794826.69	0.00	157763.86	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	15697.76	0.00	15697.76	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	132213.75	0.00	132213.75	EUR	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	18040388.21	18040388.21	0.00	EUR	A05	2020-02-06 17:16:20
2017-06-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	9342984.00	9342984.00	0.00	EUR	A05	2018-09-17 17:16:10
2017-06-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	51593611.44	51593611.44	0.00	EUR	A05	2018-12-19 22:15:49
2017-06-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	1814.00	0.00	1814.00	GBP	A05	2017-09-14 15:19:25
2017-06-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	1552072.28	1552072.28	0.00	EUR	A05	2019-01-28 12:16:01
2017-06-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	291424500.00	291424500.00	0.00	HUF	A05	2018-05-17 16:46:04
2017-06-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	1846900.48	1846900.48	0.00	EUR	A05	2019-01-07 14:30:49
2017-06-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	744168.27	0.00	744168.27	PLN	A05	2017-09-14 15:19:25
