DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2019-07-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2019-07-28 08:16:09
2019-07-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	77091.18	0.00	61052.92	EUR	A05	2019-08-27 03:31:25
2019-07-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	147865.06	0.00	147865.06	GBP	A05	2019-08-01 18:16:21
2019-07-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	23831.13	0.00	23831.13	PLN	A05	2019-08-08 12:17:19
2019-07-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	145622.89	0.00	145622.89	EUR	A05	2019-08-09 09:46:06
2019-07-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	6240772.41	5919230.60	321541.81	EUR	A05	2022-01-31 19:31:10
2019-07-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	21956263.21	21956263.21	0.00	EUR	A05	2020-02-06 17:16:18
2019-07-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	-9658.92	EUR	A05	2020-06-15 09:18:23
2019-07-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	40852.57	0.00	40852.57	EUR	A05	2019-11-08 15:16:48
2019-07-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2019-08-27 10:31:23
2019-07-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	250436.69	0.00	250436.69	EUR	A05	2019-08-28 08:16:09
2019-07-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	1919481.40	1919481.40	0.00	EUR	A05	2020-12-01 12:45:52
2019-07-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	521061.36	521061.36	0.00	EUR	A05	2020-01-24 12:16:24
2019-07-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	56746431.00	32672294.00	24073318.00	EUR	A05	2020-11-27 22:15:47
2019-07-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	3994.57	3994.57	0.00	EUR	A05	2019-08-31 00:16:13
2019-07-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	112488.70	0.00	112488.70	EUR	A05	2019-09-04 13:31:18
2019-07-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	112488.70	0.00	112488.70	EUR	A05	2019-09-06 13:16:35
2019-07-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	153855.48	0.00	153855.48	EUR	A05	2019-12-03 09:46:18
2019-07-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	16611.00	2331.00	14280.00	EUR	A05	2020-01-29 12:31:17
2019-07-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	278472.00	0.00	278472.00	EUR	A05	2020-03-16 17:16:23
