DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2024-10-01 00:00:00.000	P1M	10YMK-MEPSO----8	CTA	MK CTA	MK	0.00	0.00	0.00	EUR	A05	2024-10-02 01:02:25.025
2024-10-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	293971.00	1564.00	292407.00	EUR	A05	2024-11-01 15:02:18.018
2024-10-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	0.00	0.00	0.00	EUR	A05	2024-11-01 16:32:00.000
2024-10-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	1252861.00	0.00	822.00	EUR	A05	2024-11-15 05:31:41.041
2024-10-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2024-11-15 09:16:22.022
2024-10-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2024-11-15 10:16:16.016
2024-10-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	17221795.01	17115841.19	105953.82	EUR	A05	2025-03-05 11:46:42.042
2024-10-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	2033156.00	2033156.00	0.00	EUR	A05	2025-03-26 16:11:58.058
2024-10-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	0.00	0.00	0.00	EUR	A05	2024-11-28 07:47:32.032
2024-10-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	3156436.48	3156436.48	0.00	EUR	A05	2025-02-28 08:46:50.050
2024-10-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	103969649.98	95920950.64	8048699.34	EUR	A05	2025-03-28 22:01:50.050
2024-10-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2024-11-29 00:31:59.059
2024-10-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	179709.00	179709.00	0.00	EUR	A05	2024-11-30 01:16:29.029
2024-10-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	40713020.10	40713020.10	0.00	EUR	A05	2025-01-29 12:32:17.017
2024-10-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	408861.57	0.00	408861.57	PLN	A05	2024-12-17 13:32:31.031
2024-10-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	50105.70	0.00	50105.70	EUR	A05	2025-01-02 15:01:52.052
2024-10-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	2923925.00	0.00	2923925.00	EUR	A05	2025-01-03 09:46:31.031
2024-10-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2025-01-14 09:01:58.058
