DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2015-12-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	8154.99	0.00	1824.08	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	-2734.01	0.00	-2734.01	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	1279.90	0.00	1279.90	GBP	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	106873.51	0.00	106873.51	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	323349.47	323349.47	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	127000.00	0.00	127000.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	169132.85	0.00	169132.85	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	69742711.43	65961268.81	3781442.62	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	125541844.85	121417043.80	4124801.05	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	1852018.44	1852018.44	0.00	EUR	A05	2018-03-21 12:01:33
2015-12-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	340797.00	340797.00	0.00	EUR	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	15603429.19	0.00	15603429.19	PLN	A05	2017-09-14 15:19:24
2015-12-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	307260.00	0.00	307260.00	EUR	A05	2017-09-14 15:19:25
