DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2020-11-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	-133860.00	-3697.00	-130163.00	EUR	A05	2020-12-31 15:16:01
2020-11-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	0.00	0.00	0.00	GBP	A05	2020-12-01 18:15:57
2020-11-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-147248.42	0.00	-147248.42	EUR	A05	2020-12-10 10:30:57
2020-11-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	0.00	0.00	0.00	EUR	A05	2021-04-12 10:16:11
2020-11-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	274169.00	0.00	24152.00	EUR	A05	2020-12-15 05:30:55
2020-11-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2020-12-15 09:16:00
2020-11-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	120905861.21	89325067.22	31564746.11	EUR	A05	2021-11-26 22:15:50
2020-11-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	7851726.77	7808282.21	43444.56	EUR	A05	2022-01-31 19:01:06
2020-11-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	118962.55	0.00	118962.55	EUR	A05	2020-12-20 12:15:52
2020-11-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	11055139.07	11055139.07	0.00	EUR	A05	2021-05-12 14:45:51
2020-11-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	1707736.11	1707736.11	0.00	EUR	A05	2021-02-11 19:15:48
2020-11-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	369884.26	0.00	369884.26	EUR	A05	2020-12-28 08:15:45
2020-11-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	117599325.00	0.00	0.00	HUF	A05	2020-12-30 13:45:51
2020-11-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2020-12-31 00:15:53
2020-11-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	10350.97	10350.97	0.00	EUR	A05	2020-12-31 01:16:00
2020-11-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	16325473.96	16325473.96	0.00	EUR	A05	2022-01-28 14:01:21
2020-11-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	279899.14	257208.95	22690.19	PLN	A05	2022-01-12 13:45:58
2020-11-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	746007.00	0.00	746007.00	EUR	A05	2021-03-31 13:17:17
2020-11-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	1009.00	76.00	933.00	EUR	A05	2021-04-01 11:45:45
2020-11-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	0.00	0.00	0.00	EUR	A05	2021-08-02 16:00:56
2020-11-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2022-07-13 08:46:05
