DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2018-07-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2018-07-10 08:01:08
2018-07-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	335278.43	0.00	13279.35	EUR	A05	2018-08-04 03:31:25
2018-07-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	-10022.63	0.00	-10022.63	GBP	A05	2018-08-03 10:31:20
2018-07-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2018-08-05 00:16:11
2018-07-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	35438.56	0.00	35438.56	EUR	A05	2018-08-06 04:16:14
2018-07-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-60529.56	0.00	-60529.56	EUR	A05	2018-08-09 11:31:21
2018-07-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	111786.10	0.00	111786.10	EUR	A05	2018-08-11 11:31:19
2018-07-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	2012.17	0.00	2012.17	PLN	A05	2018-08-12 09:46:11
2018-07-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	276192.00	0.00	276192.00	EUR	A05	2020-03-16 16:48:24
2018-07-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	22287.42	EUR	A05	2019-06-15 09:16:05
2018-07-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	12893445.87	12893445.87	0.00	EUR	A05	2020-02-06 17:16:14
2018-07-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	362767.36	0.00	362767.36	EUR	A05	2019-11-08 15:16:48
2018-07-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	22565.91	0.00	22565.91	EUR	A05	2018-08-22 07:46:09
2018-07-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	49118403.00	0.00	0.00	HUF	A05	2018-08-22 14:31:26
2018-07-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	251033.49	0.00	251033.49	EUR	A05	2018-10-24 11:45:58
2018-07-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	1027746.61	1027746.61	0.00	EUR	A05	2019-04-12 12:16:10
2018-07-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	993060.77	993060.77	0.00	EUR	A05	2019-04-30 11:16:13
2018-07-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	24525832.00	24187823.00	338009.00	EUR	A05	2019-12-19 22:16:10
2018-07-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	5952195.37	5952195.37	0.00	EUR	A05	2020-06-04 16:16:33
2018-07-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	1963576.00	1943904.00	19672.00	EUR	A05	2019-08-09 09:16:12
