DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2016-04-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	502267.65	0.00	413986.54	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	17586.24	0.00	17586.24	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	808.97	0.00	808.97	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2019-06-03 13:16:09
2016-04-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	33761339.00	33278524.00	482815.00	EUR	A05	2017-12-20 00:01:14
2016-04-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	0.00	0.00	0.00	GBP	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-11468.77	0.00	-11468.77	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	4214.02	0.00	4214.02	EUR	A05	2019-11-08 15:16:49
2016-04-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	371850.93	371850.93	0.00	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	5213.30	0.00	5213.30	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	7502781.13	0.00	7502781.13	PLN	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	14823341.45	14465106.29	358235.16	EUR	A05	2017-09-25 14:57:40
2016-04-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	2685017.93	2685017.93	0.00	EUR	A05	2018-03-21 12:01:33
2016-04-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	63220.46	63220.46	0.00	EUR	A05	2017-09-14 15:19:24
2016-04-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2016-04-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	1100346.58	0.00	1100346.58	EUR	A05	2017-09-14 15:19:25
