DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2020-02-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	242843.74	0.00	31374.88	EUR	A05	2020-03-30 03:31:35
2020-02-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	0.00	0.00	0.00	GBP	A05	2020-03-01 18:16:17
2020-02-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	0.00	0.00	0.00	EUR	A05	2020-03-06 11:31:22
2020-02-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	6064.28	6064.28	0.00	EUR	A05	2020-03-13 07:46:07
2020-02-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-13396.06	0.00	-13396.06	EUR	A05	2020-03-13 11:19:22
2020-02-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2020-03-15 09:18:32
2020-02-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	743154.00	0.00	0.00	HUF	A05	2020-06-02 11:16:20
2020-02-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	146336.50	0.00	146336.50	EUR	A05	2021-04-07 14:46:03
2020-02-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	6557158.35	6557158.35	0.00	EUR	A05	2021-05-12 14:30:59
2020-02-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	18836601.60	18836601.60	0.00	EUR	A05	2022-01-31 18:31:07
2020-02-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	240481.96	240481.96	0.00	EUR	A05	2021-02-11 19:15:48
2020-02-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	293916.51	0.00	293916.51	EUR	A05	2020-03-28 08:16:24
2020-02-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	22150103.02	22150103.02	0.00	EUR	A05	2022-01-28 14:01:11
2020-02-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	154253280.32	129483609.89	24688988.11	EUR	A05	2021-11-26 22:15:51
2020-02-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2020-04-01 00:16:17
2020-02-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	168893.38	108380.84	60512.54	PLN	A05	2022-01-12 13:45:58
2020-02-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	-283.69	0.00	-283.69	EUR	A05	2020-08-25 09:46:15
2020-02-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	14271.00	534.00	13737.00	EUR	A05	2020-09-03 15:46:16
2020-02-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	258591.00	0.00	258591.00	EUR	A05	2021-03-31 12:18:36
2020-02-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	0.00	0.00	0.00	EUR	A05	2022-07-13 08:46:01
