DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2017-01-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	57894.78	0.00	55527.78	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	6268.13	0.00	6268.13	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	60802.07	0.00	60802.07	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	1602551.65	1602551.65	0.00	EUR	A05	2020-02-06 17:16:21
2017-01-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	-63728.87	0.00	-63728.87	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	38549.10	0.00	38549.10	GBP	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	0.00	0.00	0.00	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	209975.00	0.00	209975.00	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	44105.31	0.00	44105.31	EUR	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	39856530.00	38883744.14	972785.86	EUR	A05	2018-09-17 17:16:06
2017-01-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	10171688.14	10171688.14	0.00	EUR	A05	2019-01-28 11:15:47
2017-01-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	202122.66	0.00	202122.66	PLN	A05	2017-09-14 15:19:25
2017-01-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	98080232.58	96106453.14	1973779.44	EUR	A05	2018-12-19 22:15:48
2017-01-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	31057611.05	31057611.05	0.00	EUR	A05	2019-01-07 14:30:47
2017-01-01 00:00:00.000	P1M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	2264657.25	0.00	2264657.25	EUR	A05	2017-09-14 15:19:25
