"date","price"
"2015-09-28",34.47
"2015-09-29",34.37
"2015-09-30",37.02
"2015-10-01",39.02
"2015-10-02",37.98
"2015-10-03",28.85
"2015-10-04",31.18
"2015-10-05",39.3
"2015-10-06",37.23
"2015-10-07",40.48
"2015-10-08",47.14
"2015-10-09",44.34
"2015-10-10",33.64
"2015-10-11",21.91
"2015-10-12",34.84
"2015-10-13",42.15
"2015-10-14",44.7
"2015-10-15",39.85
"2015-10-16",47.34
"2015-10-17",40.46
"2015-10-18",37.48
"2015-10-19",50.72
"2015-10-20",48.4
"2015-10-21",41.7
"2015-10-22",37.21
"2015-10-23",37.78
"2015-10-24",32.81
"2015-10-25",33.67
"2015-10-26",39.52
"2015-10-27",40.37
"2015-10-28",42.2
"2015-10-29",49.64
"2015-10-30",43.2
"2015-10-31",35.73
"2015-11-01",31.57
"2015-11-02",39.96
"2015-11-03",41.65
"2015-11-04",42.31
"2015-11-05",43.97
"2015-11-06",36.67
"2015-11-07",29.45
"2015-11-08",20.64
"2015-11-09",28.68
"2015-11-10",28.84
"2015-11-11",35.08
"2015-11-12",36.45
"2015-11-13",32.09
"2015-11-14",20.69
"2015-11-15",23.83
"2015-11-16",30.51
"2015-11-17",31.72
"2015-11-18",20.44
"2015-11-19",24.85
"2015-11-20",38.17
"2015-11-21",29.74
"2015-11-22",26.02
"2015-11-23",49.43
"2015-11-24",35.21
"2015-11-25",41.73
"2015-11-26",51.27
"2015-11-27",36.77
"2015-11-28",27.87
"2015-11-29",10.81
"2015-11-30",25.28
"2015-12-01",35.67
"2015-12-02",36.4
"2015-12-03",42.53
"2015-12-04",30.73
"2015-12-05",23.5
"2015-12-06",17.56
"2015-12-07",40.61
"2015-12-08",34.73
"2015-12-09",34.95
"2015-12-10",29.46
"2015-12-11",26.4
"2015-12-12",25.82
"2015-12-13",27.1
"2015-12-14",41.94
"2015-12-15",42.61
"2015-12-16",36.97
"2015-12-17",32.47
"2015-12-18",32.64
"2015-12-19",26.87
"2015-12-20",17.33
"2015-12-21",24.98
"2015-12-22",16.97
"2015-12-23",19.51
"2015-12-24",17.27
"2015-12-25",13.3
"2015-12-26",6.79
"2015-12-27",15.53
"2015-12-28",30.81
"2015-12-29",30.96
