month_id,volatility,max_price,min_price,median_price
1,9.928120125722153,47.04,1.1,29.81
2,8.262414773151846,48.38,12.44,37.72
3,8.871765968388113,48.28,10.75,31.95
4,8.35303103497553,42.37,-0.8,32.31
5,7.195295416383699,34.77,2.39,26.77
6,5.404341645444859,37.47,18.01,31.4
7,9.45390736765117,49.02,11.04,33.62
8,5.982566770316093,41.0,16.87,31.91
9,7.662069293739712,43.25,1.51,33.61
10,6.256925986113223,50.72,21.91,39.52
11,9.067000796750591,51.27,10.81,31.645
12,9.269695602291359,42.61,6.79,27.1
13,9.541299589126334,52.18,12.05,28.32
14,6.001339690337294,32.37,8.92,23.94
15,5.690538629380625,29.42,1.52,25.45
16,3.6079381828177812,29.9,15.55,24.88
17,9.501812843443505,33.36,-12.89,25.3
18,4.209748620556323,33.09,16.33,29.08
19,5.340335658573956,33.52,14.24,28.66
20,4.616784735107604,32.55,15.09,28.8
21,3.9286618616252165,36.78,22.44,31.035
22,5.774893863941133,52.86,29.68,36.71
23,9.635983978887639,54.25,-0.32,39.295
24,17.150813473293297,60.06,-12.25,40.99
25,18.759107929818544,101.92,27.05,48.26
26,11.630013233192503,61.79,13.57,41.474999999999994
27,6.668795928785416,44.5,13.57,33.67
28,10.05451656959577,39.91,-6.74,30.335
29,11.232996660664266,39.76,-24.27,32.78
30,6.952707774838438,39.53,13.31,31.509999999999998
31,6.729431345705161,40.05,5.15,34.14
32,7.404819645237461,38.66,8.7,33.26
33,6.964797890475532,42.36,13.61,35.93
34,19.002594118325174,52.55,-52.11,31.94
35,15.216987486389003,71.5,9.42,39.254999999999995
36,18.133810368883417,61.83,-11.78,34.14
37,13.680434793128189,47.73,-25.3,31.51
38,8.454106817987759,50.3,11.48,40.435
39,12.327348640974224,52.89,1.79,39.86
40,8.145695153897544,46.63,12.95,32.56
41,11.984497037728024,46.68,-5.7,37.08
42,8.610177091107355,51.3,20.73,45.045
43,6.813428013145997,58.41,28.92,51.65
44,6.7710779466152795,66.45,42.65,56.11
45,10.403337793294002,71.52,25.41,57.7
46,12.975104507835278,72.0,18.29,56.13
47,9.942028684721048,80.33,39.73,55.129999999999995
48,15.527435497154045,71.16,8.92,49.71
49,17.670106498148613,85.8,-4.3,50.4
50,9.117591027106123,55.48,6.81,44.48
51,11.680620942030345,45.85,0.43,33.46
52,11.32640814112357,44.9,-14.01,40.825
53,7.824461450428859,50.47,16.09,39.73
54,15.892241640744585,44.67,-42.24,36.69
55,6.590120220157524,50.64,24.66,41.47
56,8.499684991000347,50.83,12.44,38.04
57,8.136060676601012,47.45,11.06,36.34
58,8.234757310145165,48.11,19.73,38.61
59,6.983184597763173,53.25,26.69,41.525
60,12.596992156774943,51.36,-16.38,33.63
61,7.650233013529087,51.54,20.32,34.96
62,12.919627371893178,38.44,-8.27,24.33
63,10.309674452271903,39.61,-0.95,23.25
64,11.212926699680768,27.77,-16.15,20.200000000000003
65,10.553344350927212,32.05,-26.13,20.41
66,8.103392052629607,37.24,6.07,27.91
67,11.671312896636042,44.45,-15.34,32.53
68,7.730816590845389,54.04,16.33,35.98
69,10.352146870460553,70.2,20.19,42.835
70,9.052855154679815,46.94,7.11,34.45
71,11.32482726771928,64.73,7.3,40.275
72,16.202513484821004,75.03,-13.45,44.58
73,10.6205793232427,78.34,30.07,51.72
74,11.880423824009613,79.3,19.38,47.67
75,15.039264316541406,64.86,11.93,51.91
76,17.77742336811483,75.77,-17.0,59.125
77,21.70397536551004,77.71,-7.04,60.2
78,16.0674131414323,94.83,19.4,77.42500000000001
79,17.144932728931014,109.04,29.82,87.39
80,20.931152966717555,110.05,5.63,90.77
81,21.652717705244033,168.21,73.16,128.5
82,53.41452755551148,302.53,40.96,144.34
83,54.9089204695051,273.89,35.41,176.83499999999998
84,97.12271912324364,431.97,12.13,198.29
85,62.68888971036478,297.29,47.35,172.18
86,48.51744886987845,225.43,39.62,126.74000000000001
87,98.7307637962198,487.57,49.04,241.4
88,56.318811564982035,238.47,59.83,177.95499999999998
89,52.076780667886744,234.49,36.85,188.14
90,66.87492995291207,331.52,91.33,198.535
91,86.67622084268496,473.25,115.16,318.37
92,126.74957244355365,699.44,214.92,426.6
93,106.22269780659097,571.2,68.77,368.85
94,57.23373913972403,282.54,80.62,145.22
95,82.86710897506353,393.7,51.09,161.525
96,144.44014639400837,444.48,-0.79,268.97
97,50.96954666574766,202.73,9.26,123.82
98,28.127824857548642,172.96,61.42,134.345
99,31.399486948757,150.67,14.67,107.47
100,23.52317767258692,140.97,39.97,107.245
101,24.46567239197398,116.14,21.45,87.28
102,23.20211169789034,127.52,40.75,97.815
103,35.20069126581746,113.99,-53.87,89.33
104,30.930746376346125,146.95,12.06,100.44
105,22.434230262508777,152.87,37.52,103.76
106,33.54403232664765,133.7,22.95,92.89
107,32.5238678829712,168.76,24.82,95.84
108,43.475092404385904,156.4,-3.37,76.29
109,23.630585174703665,111.84,16.18,78.02
110,15.103865758058047,88.7,14.78,63.22
111,16.727191423046058,91.34,25.87,67.06
112,26.85155392451095,102.01,12.99,61.56
113,26.602602439594886,106.88,1.78,72.26
114,28.123918204482354,117.14,7.64,82.435
115,24.847019591505237,91.89,7.36,77.69
116,23.479700695093687,112.91,21.86,92.06
117,29.739874020943816,158.39,14.76,76.155
118,27.86481246982464,141.18,8.11,91.32
119,39.705291890854184,231.09,3.97,114.32
120,72.72591284057302,395.34,22.14,99.07
121,47.10025534254919,231.36,0.95,110.07
122,25.27026181651334,179.14,70.32,132.55
