control_zone_id,month_id,grid_load,hydro_pumped_storage,residual_load
2,9,14903008.25,52831.5,13229180.5
2,10,15579840.25,65696.25,14639430.75
2,11,15816631.25,77802.0,13759551.25
2,12,15313463.25,82458.75,13437579.75
2,13,16088458.0,77045.5,14319648.5
2,14,15542401.75,83765.75,13472399.75
2,15,15684939.25,84830.75,13975369.25
2,16,14682316.25,76716.75,12822694.0
2,17,14564502.0,93113.25,12564023.25
2,18,14492031.25,85960.5,12957456.75
2,19,14906683.25,86900.5,13166140.25
2,20,14847032.25,91359.0,13102311.25
2,21,14115863.25,80492.0,12678398.5
2,22,15463615.75,80849.25,14340935.5
2,23,16210804.0,95083.5,14710181.25
2,24,16055548.0,94902.0,14686902.75
2,25,17344594.5,98547.75,15948171.75
2,26,15653293.0,91743.25,13785844.0
2,27,16691846.25,96698.0,14218500.0
2,28,14855626.25,80632.25,13032787.5
2,29,15251928.5,82191.0,13423178.75
2,30,14772543.75,86005.75,12557390.0
2,31,15407170.75,60806.5,13377413.25
2,32,14842576.5,89975.5,13105466.0
2,33,14758125.5,83525.5,13011530.25
2,34,15700548.25,102185.0,13359063.0
2,35,16110296.0,91295.75,14280899.75
2,36,16588487.25,117136.75,14018111.5
2,37,17128939.75,243742.0,14236034.75
2,38,15545228.0,198326.75,13525095.0
2,39,16722158.75,228540.0,14276258.25
2,40,14797238.5,257778.0,12345248.5
2,41,15160142.5,248905.75,12810325.75
2,42,14918595.75,185030.25,12943877.0
2,43,15033857.0,109658.75,12980720.75
2,44,15199090.75,140963.75,13076635.5
2,45,14849940.25,208853.75,12869299.0
2,46,15879154.25,240327.25,13706246.0
2,47,15803230.75,189347.25,13704436.5
2,48,16093511.25,213962.5,13428329.5
2,49,17105856.25,213085.25,14472742.25
2,50,15356801.75,167166.0,13146129.5
2,51,16539242.5,184960.25,12883948.75
2,52,14979100.75,159503.0,12534698.25
2,53,15525269.25,160935.0,13312687.5
2,54,14488984.75,186204.0,11977962.75
2,55,15169428.75,144852.25,13129307.25
2,56,14758767.75,172530.5,12605266.0
2,57,14392507.75,152011.75,12189903.25
2,58,15582987.0,158698.5,12891637.75
2,59,15680198.0,157860.75,13723018.75
2,60,15438718.75,160442.75,12532117.25
2,61,16426694.75,149239.25,13612292.0
2,62,15727303.0,159412.25,11497652.75
2,63,15599227.75,163386.5,11992140.0
2,64,13471001.0,175828.0,10700211.25
2,65,13567447.25,168958.25,10925362.25
2,66,13296495.25,157971.75,10980568.5
2,67,13799988.5,191295.25,11312579.75
2,68,14244812.0,202767.75,11948997.0
2,69,14001986.75,198382.75,12048071.25
2,70,15451216.25,208790.25,12520152.5
2,71,15550413.5,154538.25,13420909.75
2,72,15651985.0,181325.0,13533695.0
2,73,16700096.5,186059.75,14474043.5
2,74,15151608.5,168292.25,12784229.5
2,75,16537400.25,203597.0,13792898.25
2,76,15156190.75,173792.75,12621601.0
2,77,14961464.75,147617.25,11680326.25
2,78,14677090.25,131464.0,12586413.0
2,79,15115691.25,117371.0,12916692.0
2,80,14581777.5,91968.0,12307324.25
2,81,14586571.0,105585.0,12762141.5
2,82,15770573.75,107853.5,12995057.25
2,83,15466255.25,97981.25,13824717.75
2,84,16028453.0,106543.75,13788219.25
2,85,16651346.5,85709.0,14121991.5
2,86,15181924.5,89968.0,11019129.25
2,87,15840592.25,110881.5,13227603.5
2,88,14608642.75,102474.0,11382362.25
2,89,14651473.0,238263.0,11783974.5
2,90,13616967.25,330113.25,11005235.0
2,91,13811030.75,371006.75,11229155.75
2,92,13534616.25,273860.75,11153121.5
2,93,13493775.75,375951.25,11260590.25
2,94,13639446.0,392622.0,11116425.0
2,95,13738302.25,391649.0,11079732.5
2,96,14203686.75,368047.75,11862897.75
2,97,14668910.5,320843.25,11247638.25
2,98,13011188.75,281787.0,10279160.75
2,99,14272452.5,374954.5,10677360.75
2,100,13095290.75,358157.5,10099607.5
2,101,13053577.75,362334.75,10111944.75
2,102,12725109.0,298379.75,9697105.5
2,103,12801658.0,232000.5,9307720.5
2,104,12975604.0,347590.5,10308931.5
2,105,12813680.5,386783.75,10186083.25
2,106,13842487.0,384350.25,10444609.5
2,107,14544375.75,308871.5,10768773.25
2,108,14223600.75,205185.25,10377455.5
2,109,15796541.75,161723.25,12391661.5
2,110,14384171.5,170263.25,10830996.0
2,111,14531069.75,244516.0,11574216.75
2,112,13673711.75,293809.5,10064629.5
2,113,12967877.5,277276.0,10152504.5
2,114,12834894.25,278325.25,9822651.75
2,115,13190788.0,274709.0,10097037.0
2,116,13468325.5,286870.25,10487067.5
2,117,13077918.75,282041.75,9933585.5
2,118,13137848.75,255495.25,10772466.75
2,119,14742242.0,198368.5,12242649.75
2,120,14603686.75,211654.5,11459291.75
2,121,15866702.75,200535.5,12922634.75
2,122,14494225.75,161729.25,12191346.0
2,123,14707710.0,236681.25,11830805.5
3,1,13646952.5,270157.25,9662725.5
3,2,12526187.0,210627.75,9799138.5
3,3,13377056.75,251139.25,9233946.0
3,4,11843568.0,223499.5,8111572.0
3,5,11903135.25,213050.0,7689349.25
3,6,11413646.25,170267.0,7776133.0
3,7,12437883.5,230004.25,7842173.0
3,8,12175210.75,228902.75,8565110.5
3,9,12792726.75,209068.5,8916558.75
3,10,13171325.0,245436.75,10292330.25
3,11,13544373.75,246612.5,8084116.75
3,12,12979146.0,244594.25,7112933.75
3,13,13940644.25,254355.75,9077417.5
3,14,13127521.75,240637.5,8182627.75
3,15,13413686.5,236382.5,9595069.75
3,16,12294285.5,228546.75,7991390.5
3,17,12022947.25,273802.25,7292579.5
3,18,12074140.0,259191.75,8569958.0
3,19,12237873.0,244374.5,7932518.75
3,20,12211002.5,211875.5,7846845.75
3,21,12202331.5,187772.0,8519579.75
3,22,12891562.5,225232.75,9224414.0
3,23,13511974.75,252665.5,9203516.25
3,24,13634910.75,253460.25,8900761.25
3,25,14257522.75,290346.25,10133132.5
3,26,12619832.75,258371.5,6675857.25
3,27,13197081.75,287427.25,7355137.0
3,28,12039296.0,268288.75,6416707.0
3,29,12317737.75,283611.5,7240835.0
3,30,11796601.0,262687.5,6100490.0
3,31,12001161.25,264026.25,7363764.75
3,32,12157720.75,223261.75,7412266.75
3,33,12020193.75,260992.0,7863097.25
3,34,12800194.0,286906.75,5504035.25
3,35,13368772.75,233400.5,7943149.75
3,36,13456139.75,263660.25,6327530.0
3,37,13754073.0,92603.25,6751573.75
3,38,12842649.25,43938.5,7930188.75
3,39,13641483.75,99293.5,7411341.75
3,40,11936497.75,97833.25,5659409.0
3,41,11954592.0,96984.0,5940912.25
3,42,11909478.25,78646.0,6914589.0
3,43,12216098.0,61771.25,7701897.5
3,44,12311230.75,57197.5,7332389.5
3,45,11985787.75,34459.25,6114730.25
3,46,12932525.0,10207.0,6546202.5
3,47,13210509.0,19706.25,7594201.0
3,48,13140357.0,68509.75,6157054.75
3,49,14065121.0,74889.25,6950361.75
3,50,12491837.5,89977.75,6571954.0
3,51,13205231.5,126349.0,4605994.5
3,52,11872034.0,91890.25,5439755.25
3,53,12138777.0,80224.5,5913657.5
3,54,11556209.5,104390.0,5792661.0
3,55,12246459.75,85183.75,6513543.5
3,56,11836005.75,86946.5,6658657.75
3,57,11769230.5,69814.5,5615495.5
3,58,12634978.0,92732.75,5961264.0
3,59,12895871.25,87256.25,7477522.0
3,60,12888425.0,136060.75,5009376.75
3,61,13769626.25,164738.0,5407381.25
3,62,12864174.0,152023.75,3016619.0
3,63,12858225.5,143282.0,4326324.25
3,64,10942300.0,161937.75,4076976.25
3,65,11120782.5,148838.75,5014676.75
3,66,10880524.75,68134.5,5515135.5
