day_id,price
1,35.86
2,33.88
3,38.72
4,28.48
5,24.25
6,12.86
7,1.1
8,22.56
9,24.81
10,27.21
11,25.37
12,33.08
13,31.5
14,26.99
15,42.58
16,47.04
17,44.99
18,43.82
19,42.37
20,29.78
21,28.28
22,37.5
23,32.94
24,28.18
25,26.24
26,38.24
27,29.81
28,29.23
29,42.38
30,45.53
31,48.28
32,44.04
33,39.3
34,26.91
35,12.44
36,27.55
37,44.18
38,48.32
39,48.38
40,38.7
41,32.67
42,29.43
43,35.53
44,42.94
45,43.2
46,38.14
47,30.78
48,30.34
49,33.52
50,31.68
51,34.64
52,44.28
53,37.3
54,38.86
55,29.51
56,10.75
57,26.74
58,27.21
59,26.14
60,36.37
61,39.94
62,28.68
63,22.48
64,38.93
65,37.9
66,34.85
67,39.46
68,36.67
69,31.95
70,27.55
71,30.84
72,31.93
73,36.43
74,37.23
75,35.3
76,30.97
77,25.98
78,41.2
79,48.28
80,39.54
81,40.73
82,33.69
83,27.06
84,11.84
85,16.05
86,17.85
87,19.1
88,32.25
89,23.71
90,27.98
91,25.4
92,25.84
93,36.37
94,41.98
95,42.37
96,35.53
97,23.55
98,-0.8
99,21.17
100,32.57
101,26.96
102,34.29
103,37.29
104,26.86
105,23.27
106,32.69
107,30.41
108,35.7
109,34.71
110,33.41
111,26.61
112,22.97
113,35.04
114,37.13
115,32.37
116,34.98
117,23.21
118,26.11
119,17.13
120,30.85
121,26.77
122,26.0
123,27.87
124,29.88
125,17.28
126,2.39
127,29.24
128,29.36
129,26.4
130,20.21
131,30.58
132,20.49
133,12.27
134,30.08
135,28.75
136,34.77
137,33.99
138,31.19
139,24.42
140,19.72
141,23.52
142,33.2
143,31.96
144,30.49
145,31.12
146,21.55
147,15.3
148,31.44
149,22.03
150,27.75
151,28.93
152,29.61
153,23.63
154,18.01
155,30.64
156,33.78
157,32.43
158,35.76
159,35.2
160,26.51
161,18.49
162,31.9
163,37.47
164,31.36
165,32.57
166,32.4
167,28.08
168,23.47
169,33.25
170,31.87
171,30.59
172,36.47
173,36.27
174,29.38
175,20.99
176,36.12
177,35.55
178,33.58
179,33.9
